agent_type,difficulty,reward,blue_def_avg_dist,blue_score_per_tag,blue_total_dist,red_def_avg_dist,red_score_per_tag,red_total_dist
0,easy,1,21.651880143122774,0.0,25818.912581753753,23.860696980372907,0.0,40105.644622208274
0,hard,1,36.91990178641379,0.0,22382.421184390987,36.466125216162155,0.0,39769.237759542506
0,medium,1,54.05281697012754,0.0,22926.47814375552,52.60778304252407,0.0,47192.5791616194
1,easy,1,30.917861579212996,0.0,23601.90676721841,29.120960597825125,0.0,39278.518372916245
1,easy,2,39.41794082391933,0.0,24547.680913868542,36.604423938885596,0.0,39327.82969464195
1,hard,1,27.04864709904448,0.0,22539.04618340767,32.09444952024035,0.0,36071.39831854543
1,hard,2,34.408958688097805,0.0,21365.005368886,35.85358365822084,0.0,44060.497180504004
1,medium,1,42.42951879504525,0.0,24996.67381736163,39.224404154075316,0.0,41655.83886976027
1,medium,2,31.425096948927823,0.0,22499.20455101328,32.005680637462554,0.0,42512.44360204985
2,easy,1,27.316804723058492,0.0,20547.497567436374,25.11024679199615,0.0,37404.955202841375
2,easy,2,33.06238201445571,0.0,23320.91532981082,33.965020269042654,0.0,41219.74921091613
2,hard,1,28.10238839924752,0.0,19896.264645224328,29.299833300425632,0.0,38054.035714749174
2,hard,2,37.380047497665586,0.0,24914.801499177476,30.747639579092162,0.0,39219.44044195216
2,medium,1,40.810008889014654,0.0,22335.74832094377,43.20335084070253,0.0,42101.75952861829
2,medium,2,43.70888578487348,0.0,23473.13179460534,43.645580423889655,0.0,44811.08022277277
