agent_type,difficulty,reward,blue_def_avg_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_def_avg_dist,red_positions,red_score_per_tag,red_total_dist
0,easy,1,21.295046641980164,,0.0,0.0,22.680470210505792,,1.0,902.2416064933386
0,medium,1,25.31134670008988,,0.0,0.0,25.878568680076604,,0.9,897.9795232399553
0,hard,1,30.36814324462555,,0.0,0.0,28.51423247769882,,0.6,1775.2678928990513
1,easy,1,21.017431214462746,,1.0666666666666667,1662.4259106025063,22.79752371522891,,0.16666666666666666,982.2976536647618
1,easy,2,23.639012329077076,,0.0,1572.8507470608306,27.53690214441063,,0.7666666666666666,950.4353116905816
1,medium,1,17.085743509112824,,1.4666666666666666,1679.683105556684,19.921796052587048,,0.0,946.6567839335969
1,medium,2,23.84773445004411,,0.0,1560.1492617937201,26.720991379744426,,0.6,968.148468124509
1,hard,1,24.398446841261528,,0.9,1671.0275887441214,21.38579870248257,,0.5666666666666667,1778.3824201022646
1,hard,2,30.18511723028852,,0.0,1547.4086608913149,34.52864067409384,,0.8,1772.0777507126127
2,easy,1,28.055237718514064,,0.0,515.804859549962,34.47619661824489,,1.2,916.2541694411675
2,easy,2,24.42231292175366,,0.0,518.6348933049845,26.650637059599017,,0.6666666666666667,935.7141827733933
2,medium,1,27.214418373653984,,0.0,520.6218012249917,26.736344728362276,,1.6,922.6805125929998
2,medium,2,23.028434354934298,,0.0,513.2920378680591,26.82542746626733,,1.0666666666666667,922.2161654617964
2,hard,1,31.027309547096287,,0.0,542.0454768367496,30.71635324859676,,1.8,1775.7606419630097
2,hard,2,27.54027440144708,,0.0,515.0842999320795,27.78721205805986,,2.2,1773.1165119849422
