agent_type,difficulty,reward,blue_agr_avg_dist,blue_def_avg_dist,blue_defagr_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_agr_avg_dist,red_def_avg_dist,red_defagr_dist,red_positions,red_score_per_tag,red_total_dist,tag_positions
0,easy,1,81.2099231288997,19.163339022152492,0.28055179661644936,,0.0,0.0,22.242285208250525,20.24113654269871,0.11874477368989453,,2.0,9163.613632521181,
0,medium,1,79.82726738625543,19.34770565654307,0.27720247673800824,,0.0,0.0,21.520914445500892,20.831435363080622,0.11837841647354808,,2.1,9132.395074417453,
0,hard,1,81.2099231288997,27.109470613430005,0.3027619096117682,,0.0,0.0,22.359344296980566,28.57991866878499,0.14237956839398666,,11.809090909090909,17843.512557671078,
1,easy,1,4.520734678271153,18.17594430669697,0.06343914634234955,,1.9458857872650976,16680.570957083568,65.12402425548883,22.57584298367317,0.24512858095559129,,0.023859649122807018,9608.62718873896,
1,easy,2,55.624754317297025,26.534016527219933,0.2296407456952096,,0.006060606060606061,15629.039352784388,25.46942953911822,30.067279451709453,0.15522982068764307,,0.9006560518944419,9473.971348154442,
1,medium,1,6.469173999403718,15.031797715655145,0.06009704292146482,,1.7354022988505746,16626.265313129912,77.63217835313284,21.540872989494773,0.2771971054227401,,0.0,9227.940881006176,
1,medium,2,51.170021156610915,25.987813140506024,0.21566270310627272,,0.0,15663.279570757348,26.857385353557067,30.0127577734778,0.15895688240274053,,1.0134337068160597,9408.87070226413,
1,hard,1,6.044383069973016,14.683355621489275,0.05793579091745278,,1.6632684464219505,16689.307345641326,68.24955094160636,23.20515114893906,0.25562366342056453,,0.24584365325077395,17859.64914860067,
1,hard,2,53.26839562138416,29.80912443117011,0.23220872779951657,,0.0,15681.845694807233,24.85571041219937,38.14074581551857,0.1760804480834591,,2.2627777777777776,17836.237599661345,
2,easy,1,71.20731556442327,21.30815666329847,0.25858860608959955,,0.03222646918299092,5227.2768676738,21.68750575286221,25.806370985659008,0.1327494211279118,,2.145833333333333,9144.859097558001,
2,easy,2,77.69304335186948,25.833584686083725,0.2893657222177488,,0.0,5147.497171000037,21.694878902011162,28.990106607001803,0.14166884129593096,,2.560714285714286,9108.252468435643,
2,medium,1,67.16339310614737,22.095530014953702,0.24948627462151213,,0.0,5337.777280464923,22.730643985910586,25.952799894260824,0.13607436236857423,,1.8156565656565653,9300.632943653201,
2,medium,2,78.99970226364876,20.39882477299272,0.27782732914660135,,0.0,5119.579010402659,23.222777640581548,22.397587423276484,0.12751279680142885,,1.5095238095238095,9242.001740331978,
2,hard,1,65.50100581500354,27.859208319753208,0.26094973149906603,,0.0,5316.647251015828,24.76303329877214,29.89365030176264,0.15277007494436715,,3.473939393939394,17834.83042193939,
2,hard,2,74.48111690789666,24.908349182838197,0.27780200303286673,,0.0,5120.894538950977,23.29436889831011,29.164248754687918,0.14662629384721756,,2.868095238095238,17835.222785708607,
