agent_type,difficulty,reward,blue_def_avg_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_def_avg_dist,red_positions,red_score_per_tag,red_total_dist
0,easy,1,25.286056216861866,,0.0,0.0,26.416652737587903,,1.0399999999999998,1824.8588167709645
0,medium,1,22.542309491997937,,0.0,0.0,22.48812074233386,,1.9,1810.9733025165042
0,hard,1,28.52503194544127,,0.0,0.0,27.91506895276252,,2.8,3563.3573095336274
1,easy,1,24.13458111931736,,0.0,3069.4524669483594,26.76726112097004,,0.7866666666666666,1879.5085457725588
1,easy,2,25.44971928459016,,0.0,3065.1947615373606,28.903082874418317,,0.9399999999999998,1926.356486628881
1,medium,1,26.463149029006082,,0.0,3081.5077255365945,29.436071069820354,,0.7766666666666666,1902.7063007132288
1,medium,2,26.254592215237505,,0.0,3077.2056470287216,26.618926121182465,,0.73,1921.6102175870753
1,hard,1,29.275246613366118,,0.0,3063.8157195502995,32.87517786398165,,2.216666666666667,3558.418629696417
1,hard,2,29.85738632161641,,0.0,3062.3143679849622,32.50915781985153,,2.59,3560.5779525664993
2,easy,1,25.048982600833938,,0.0,1028.9683929802363,25.98683163584692,,1.95,1824.9457753651045
2,easy,2,21.089141481228232,,0.0,1017.4991217450279,26.893250426420074,,1.1466666666666665,1873.6416008379103
2,medium,1,20.34616692990808,,0.0,1031.267518425297,24.28174129444244,,1.5399999999999998,1892.2424426693137
2,medium,2,22.816863057038063,,0.0,1030.6828753119619,24.41142713048849,,1.25,1846.2524979551476
2,hard,1,24.67105667923982,,0.0,1030.980855518436,30.09106909556916,,1.4733333333333334,3559.067956781447
2,hard,2,32.860787288456876,,0.0,1009.1261085164421,33.26062025620866,,3.6333333333333337,3561.193036404957
