agent_type,difficulty,reward,blue_def_avg_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_def_avg_dist,red_positions,red_score_per_tag,red_total_dist
0,easy,1,19.163339022152492,,0.0,0.0,20.24113654269871,,2.0,9163.613632521181
0,medium,1,19.34770565654307,,0.0,0.0,20.831435363080622,,2.1,9132.395074417453
0,hard,1,27.109470613430005,,0.0,0.0,28.57991866878499,,11.809090909090909,17843.512557671078
1,easy,1,18.17594430669697,,1.9458857872650976,16680.570957083568,22.57584298367317,,0.023859649122807018,9608.62718873896
1,easy,2,26.534016527219933,,0.006060606060606061,15629.039352784388,30.067279451709453,,0.9006560518944419,9473.971348154442
1,medium,1,15.031797715655145,,1.7354022988505746,16626.265313129912,21.540872989494773,,0.0,9227.940881006176
1,medium,2,25.987813140506024,,0.0,15663.279570757348,30.0127577734778,,1.0134337068160597,9408.87070226413
1,hard,1,14.683355621489275,,1.6632684464219505,16689.307345641326,23.20515114893906,,0.24584365325077395,17859.64914860067
1,hard,2,29.80912443117011,,0.0,15681.845694807233,38.14074581551857,,2.2627777777777776,17836.237599661345
2,easy,1,21.30815666329847,,0.03222646918299092,5227.2768676738,25.806370985659008,,2.145833333333333,9144.859097558001
2,easy,2,25.833584686083725,,0.0,5147.497171000037,28.990106607001803,,2.560714285714286,9108.252468435643
2,medium,1,22.095530014953702,,0.0,5337.777280464923,25.952799894260824,,1.8156565656565653,9300.632943653201
2,medium,2,20.39882477299272,,0.0,5119.579010402659,22.397587423276484,,1.5095238095238095,9242.001740331978
2,hard,1,27.859208319753208,,0.0,5316.647251015828,29.89365030176264,,3.473939393939394,17834.83042193939
2,hard,2,24.908349182838197,,0.0,5120.894538950977,29.164248754687918,,2.868095238095238,17835.222785708607
